#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:22:03       0      0      0      0      0      0      0 
 18:22:04       0      0      0      0      0      0      0 
 18:22:05       0      0      0      0      0      0      0 
 18:22:06       0      0      0      0      0      0      0 
 18:22:07       0      3      0      0      0      0      0 
 18:22:08       0      2      0      0      0      0      0 
 18:22:09       0      2      0      0      0      0      0 
 18:22:10       0      2      0      0      0      0      0 
 18:22:11       0      3      0      0      0      0      0 
 18:22:12       0      3      0      0      0      0      0 
 18:22:13       0      4      0      0      0      0      0 
 18:22:14       0      2      0      0      0      0      0 
 18:22:15       0      0      0      0      0      0      0 
 18:22:16       0      2      0      0      0      0      0 
 18:22:17       0      0      0      0      0      0      0 
 18:22:18       0      0      0      0      0      0      0 
 18:22:19       0      0      0      0      0      0      0 
 18:22:20       0      5      0      0      0      0      0 
 18:22:21       0      3      0      0      0      0      0 
 18:22:22       0      3      0      0      0      0      0 
 18:22:23       0      0      0      0      0      0      0 
 18:22:24       0      3      0      0      0      0      0 
 18:22:25       0      0      0      0      0      0      0 
 18:22:26       0      4      0      0      0      0      0 
 18:22:27       0      3      0      0      0      0      0 
 18:22:28       0      1      0      0      0      0      0 
 18:22:29       0      3      0      0      0      0      0 
 18:22:30       0      3      0      0      0      0      0 
 18:22:31       0      2      0      0      0      0      0 
 18:22:32       0      2      0      0      0      0      0 
 18:22:33       0      2      0      0      0      0      0 
 18:22:34       0      6      0      0      0      0      0 
 18:22:35       0     26      2      0      0      0      0 
 18:22:36       0     25      2      0      0      0      0 
 18:22:37       0     18      1      0      0      0      0 
 18:22:38       0      0      0      0      0      0      0 
 18:22:39       0      3      0      0      0      0      0 
 18:22:40       0      4      0      0      0      0      0 
 18:22:41       0      2      0      0      0      0      0 
 18:22:42       0      3      0      0      0      0      0 
 18:22:43       0      0      0      0      0      0      0 
 18:22:44       0      5      0      0      0      0      0 
 18:22:45       0      4      0      0      0      0      0 
 18:22:46       0      3      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:22:47       0      2      0      0      0      0      0 
 18:22:48       0      1      0      0      0      0      0 
 18:22:49       0      3      0      0      0      0      0 
 18:22:50       0      0      0      0      0      0      0 
 18:22:51       0      4      0      0      0      0      0 
 18:22:52       0      0      0      0      0      0      0 
 18:22:53       0      0      0      0      0      0      0 
 18:22:54       0      3      0      0      0      0      0 
 18:22:55       0      2      0      0      0      0      0 
