device: cuda
config: n_envs=1024  rollout=64  K=8  level=random_8_16
effective env_ticks per update = 524,288

 upd    wall     reward        pol      val        ent        kl    eps    win       ticks
   1    21.8    +0.0132    -0.0051   0.1625    -5.4383   +0.0050   2071   0.40     524,288
   2    45.7    +0.0083    -0.0102   0.1882    -5.4681   +0.0083   3067   0.40   1,048,576
   3    64.3    +0.0171    -0.0128   0.2101    -5.4821   +0.0076   2141   0.46   1,572,864
   4    86.3    +0.0218    -0.0146   0.2247    -5.4585   +0.0094   3020   0.51   2,097,152
   5   105.2    +0.0234    -0.0158   0.2420    -5.5019   +0.0099   2227   0.56   2,621,440
   6   128.0    +0.0339    -0.0165   0.2322    -5.4469   +0.0103   2945   0.61   3,145,728
   7   147.4    +0.0340    -0.0157   0.2179    -5.5090   +0.0108   2331   0.67   3,670,016
   8   171.3    +0.0456    -0.0170   0.2161    -5.4159   +0.0126   2879   0.72   4,194,304
   9   195.3    +0.0506    -0.0165   0.1942    -5.4430   +0.0120   2960   0.78   4,718,592
  10   216.3    +0.0501    -0.0167   0.1887    -5.3626   +0.0132   2370   0.81   5,242,880
  11   242.1    +0.0596    -0.0173   0.1607    -5.3264   +0.0127   2908   0.84   5,767,168
  12   262.8    +0.0591    -0.0169   0.1441    -5.2962   +0.0140   2585   0.87   6,291,456
  13   285.0    +0.0646    -0.0179   0.1377    -5.2335   +0.0157   2806   0.88   6,815,744
  14   305.1    +0.0689    -0.0171   0.1131    -5.1716   +0.0160   2782   0.92   7,340,032
  15   324.2    +0.0739    -0.0176   0.0939    -5.1037   +0.0160   2833   0.93   7,864,320
  16   341.3    +0.0775    -0.0177   0.0830    -5.0360   +0.0173   2900   0.94   8,388,608
  17   358.7    +0.0810    -0.0168   0.0750    -4.9832   +0.0184   2925   0.95   8,912,896
  18   376.8    +0.0845    -0.0163   0.0699    -4.8999   +0.0179   2998   0.96   9,437,184
  19   394.5    +0.0877    -0.0163   0.0618    -4.8209   +0.0185   3041   0.97   9,961,472
  20   414.0    +0.0921    -0.0164   0.0510    -4.7226   +0.0187   3093   0.98  10,485,760
  21   432.5    +0.0986    -0.0161   0.0400    -4.6083   +0.0197   3231   0.98  11,010,048
  22   451.4    +0.1008    -0.0152   0.0393    -4.5420   +0.0191   3259   0.99  11,534,336
  23   469.9    +0.1042    -0.0160   0.0295    -4.4522   +0.0205   3285   0.99  12,058,624
  24   489.6    +0.1080    -0.0156   0.0267    -4.3486   +0.0194   3367   0.99  12,582,912
  25   510.7    +0.1126    -0.0161   0.0224    -4.2307   +0.0189   3464   1.00  13,107,200
  26   530.7    +0.1163    -0.0137   0.0213    -4.1455   +0.0193   3562   0.99  13,631,488
  27   551.9    +0.1187    -0.0153   0.0146    -4.0586   +0.0187   3563   1.00  14,155,776
  28   572.7    +0.1199    -0.0140   0.0167    -4.0258   +0.0201   3584   1.00  14,680,064
  29   593.5    +0.1236    -0.0146   0.0123    -3.9366   +0.0198   3650   1.00  15,204,352
  30   615.7    +0.1289    -0.0134   0.0124    -3.8580   +0.0203   3819   1.00  15,728,640

DONE: 30 updates in 615.7s (0.049 upd/s)
      15,728,640 env ticks (25,546 ticks/sec)
      89,666 episodes (145.6 eps/sec, win_rate 0.856)
