# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     19      2      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0     30      2      0      0      0      0 
    0     26      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0     26      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0     26      2      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0     24      2      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      7      0      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      7      0      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0     26      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      4      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0     36      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0     35      2      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      5      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      7      0      0      0      0      0 
    0     24      2      0      0      0      0 
    0     24      2      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      7      0      0      0      0      0 
    0     25      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      4      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      6      0      0      0      0      0 
    0     24      2      0      0      0      0 
    0     25      2      0      0      0      0 
    0      3      0      0      0      0      0 
    0      2      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0      3      0      0      0      0      0 
